Componente exigido por los Lineamientos,¿Presente en el PGD analizado?,Sección y página,Calidad (completo / parcial / declarativo),Observación
1. Introducción y marco normativo,Sí,Páginas 2-7,Completo,
2. Situación actual: análisis interno y externo,Sí,Páginas 8-20,Completo,
3. Alineamiento estratégico con el PEI y las políticas nacionales,Sí,Páginas 21-30,Completo,
4. Objetivos de gobierno digital,Sí,Página 63,Completo,
5. Portafolio de proyectos,Sí,Página 73,Completo,
6. Gestión de riesgos,Sí,Página 55,Completo,
7. Cronograma e implementación,Sí,Página 74,Completo,
8. Supervisión y evaluación,Sí,Página 80,Completo,
9. Anexos,Sí,Página 81,Completo,
Adicional: ¿se identifica al Líder de Gobierno Digital?,Sí,,Completo,
Adicional: ¿se evidencia el Comité de Gobierno Digital?,Sí,,Completo,
Adicional: ¿el periodo cubre al menos 3 años?,Sí,,Completo,
Adicional: ¿hay evidencia de actualización anual?,Sí,,Completo,
